country,year,population,continent,life_exp,gdp_cap,Kilotons of Co2,Metric Tons Per Capita
Chile,2007,16284741,Americas,78.553,13171.63885,64570.0,3.91
China,1992,1164970000,Asia,68.69,1655.784158,2418180.0,2.08
China,1997,1230075000,Asia,70.426,2289.234136,3134110.0,2.55
China,2002,1280400000,Asia,72.028,3119.280896,3810060.06,2.98
China,2007,1318683096,Asia,72.961,4959.114854,6993180.18,5.31
Colombia,1992,34202721,Americas,68.421,5444.648617,52510.0,1.55
Colombia,1997,37657830,Americas,70.313,6117.361746,64190.0,1.72
Colombia,2002,41008227,Americas,71.682,5755.259962,56770.0,1.4
Colombia,2007,44227550,Americas,72.889,7006.580419,59180.0,1.37
Comoros,1992,454429,Africa,57.939,1246.90737,70.0,0.15
Comoros,1997,527982,Africa,60.66,1173.618235,80.0,0.16
Comoros,2002,614382,Africa,62.974,1075.811558,110.0,0.2
Comoros,2007,710960,Africa,65.152,986.1478792,110.0,0.18
Costa Rica,1992,3173216,Americas,75.713,6160.416317,4150.0,1.25
Costa Rica,1997,3518107,Americas,77.26,6677.045314,4490.0,1.2
Costa Rica,2002,3834934,Americas,78.123,7723.447195,5520.0,1.34
Costa Rica,2007,4133884,Americas,78.782,9645.06142,7600.0,1.71
Croatia,1992,4494013,Europe,72.527,8447.794873,15040.0,3.29
Croatia,1997,4444595,Europe,73.68,9875.604515,17070.0,3.76
Croatia,2002,4481020,Europe,74.876,11628.38895,20280.0,4.71
Croatia,2007,4493312,Europe,75.748,14619.22272,22880.0,5.31
Cuba,1992,10723260,Americas,74.414,5592.843963,21770.0,2.02
Cuba,1997,10983007,Americas,76.151,5431.990415,27450.0,2.5
Cuba,2002,11226999,Americas,77.158,6340.646683,26420.0,2.37
Cuba,2007,11416987,Americas,78.273,8948.102923,27680.0,2.46
Czech Republic,1992,10315702,Europe,72.4,14297.02122,134140.0,13.0
Czech Republic,1997,10300707,Europe,74.01,16048.51424,124790.0,12.11
Czech Republic,2002,10256295,Europe,75.51,17596.21022,118530.0,11.62
Czech Republic,2007,10228744,Europe,76.486,22833.30851,123620.0,12.0
Denmark,1992,5171393,Europe,75.33,26406.73985,57030.0,11.03
Denmark,1997,5283663,Europe,76.11,29804.34567,63650.0,12.04
Denmark,2002,5374693,Europe,77.18,32166.50006,53840.0,10.02
Denmark,2007,5468120,Europe,78.332,35278.41874,53410.0,9.78
Djibouti,1992,384156,Africa,51.604,2377.156192,300.0,0.48
Djibouti,1997,417908,Africa,53.157,1895.016984,330.0,0.49
Djibouti,2002,447416,Africa,53.373,1908.260867,400.0,0.51
Djibouti,2007,496374,Africa,54.791,2082.481567,470.0,0.54
Dominican Republic,1992,7351181,Americas,68.457,3044.214214,9620.0,1.3
Dominican Republic,1997,7992357,Americas,69.957,3614.101285,14500.0,1.78
Dominican Republic,2002,8650322,Americas,70.847,4563.808154,20880.0,2.37
Dominican Republic,2007,9319622,Americas,72.235,6025.374752,20630.0,2.19
Ecuador,1992,10748394,Americas,69.613,7103.702595,16850.0,1.54
Ecuador,1997,11911819,Americas,72.312,7429.455877,24950.0,2.08
Ecuador,2002,12921234,Americas,74.173,5773.044512,24170.0,1.85
Ecuador,2007,13755680,Americas,74.994,6873.262326,30640.0,2.15
Egypt,1992,59402198,Africa,63.674,3794.755195,90900.0,1.52
Egypt,1997,66134291,Africa,67.217,4173.181797,106060.0,1.58
Egypt,2002,73312559,Africa,69.806,4754.604414,129440.0,1.74
Egypt,2007,80264543,Africa,71.338,5581.180998,183399.99,2.23
El Salvador,1992,5274649,Americas,66.798,4444.2317,3350.0,0.6
El Salvador,1997,5783439,Americas,69.535,5154.825496,5320.0,0.91
El Salvador,2002,6353681,Americas,70.734,5351.568666,5940.0,0.99
El Salvador,2007,6939688,Americas,71.878,5728.353514,7630.0,1.26
Equatorial Guinea,1992,387838,Africa,47.545,1132.055034,900.0,1.8
Equatorial Guinea,1997,439971,Africa,48.245,2814.480755,1650.0,2.72
Equatorial Guinea,2002,495627,Africa,49.348,7703.4959,4630.0,6.14
Equatorial Guinea,2007,551201,Africa,51.579,12154.08975,8540.0,9.0
Eritrea,1992,3668440,Africa,49.991,582.8585102,440.0,0.23
Eritrea,1997,4058319,Africa,53.378,913.47079,830.0,0.36
Eritrea,2002,4414865,Africa,55.24,765.3500015,680.0,0.27
Eritrea,2007,4906585,Africa,58.04,641.3695236,510.0,0.17
Ethiopia,1992,52088559,Africa,48.091,421.3534653,1520.0,0.03
Ethiopia,1997,59861301,Africa,49.402,515.8894013,3060.0,0.05
Ethiopia,2002,67946797,Africa,50.725,530.0535319,4570.0,0.06
Ethiopia,2007,76511887,Africa,52.947,690.8055759,5960.0,0.07
Finland,1992,5041039,Europe,75.7,20647.16499,52280.0,10.37
Finland,1997,5134406,Europe,77.13,23723.9502,60620.0,11.79
Finland,2002,5193039,Europe,78.37,28204.59057,63440.0,12.2
Finland,2007,5238460,Europe,79.313,33207.0844,65100.0,12.31
France,1992,57374179,Europe,77.46,24703.79615,368590.0,6.26
France,1997,58623428,Europe,78.64,25889.78487,359070.0,5.99
France,2002,59925035,Europe,79.59,28926.03234,371019.99,6.0
France,2007,61083916,Europe,80.657,30470.0167,362829.99,5.67
Gabon,1992,985739,Africa,61.366,13522.15752,4530.0,4.37
Gabon,1997,1126189,Africa,60.461,14722.84188,5560.0,4.71
Gabon,2002,1299304,Africa,56.761,12521.71392,5960.0,4.44
Gabon,2007,1454867,Africa,56.735,13206.48452,4940.0,3.19
Gambia,1992,1025384,Africa,52.644,665.6244126,200.0,0.18
Gambia,1997,1235767,Africa,55.861,653.7301704,230.0,0.17
Gambia,2002,1457766,Africa,58.041,660.5855997,300.0,0.2
Gambia,2007,1688359,Africa,59.448,752.7497265,410.0,0.23
Germany,1992,80597764,Europe,76.07,26505.30317,892820.0,11.07
Germany,1997,82011073,Europe,77.34,27788.88416,872650.0,10.64
Germany,2002,82350671,Europe,78.67,30035.80198,833380.0,10.1
Germany,2007,82400996,Europe,79.406,32170.37442,783799.99,9.53
Ghana,1992,16278738,Africa,57.501,925.060154,3080.0,0.19
Ghana,1997,18418288,Africa,58.556,1005.245812,4300.0,0.24
Ghana,2002,20550751,Africa,58.453,1111.984578,7430.0,0.36
Ghana,2007,22873338,Africa,60.022,1327.60891,9120.0,0.38
Greece,1992,10325429,Europe,77.03,17541.49634,78180.0,7.52
Greece,1997,10502372,Europe,77.869,18747.69814,83760.0,7.86
Greece,2002,10603863,Europe,78.256,22514.2548,96600.0,8.86
Greece,2007,10706290,Europe,79.483,27538.41188,104310.0,9.44
Guatemala,1992,8486949,Americas,63.373,4439.45084,4830.0,0.51
Guatemala,1997,9803875,Americas,66.322,4684.313807,6550.0,0.61
Guatemala,2002,11178650,Americas,68.978,4858.347495,10470.0,0.86
Guatemala,2007,12572928,Americas,70.259,5186.050003,12410.0,0.92
Guinea,1992,6990574,Africa,48.576,794.3484384,1050.0,0.15
Guinea,1997,8048834,Africa,51.455,869.4497668,1290.0,0.16
Guinea,2002,8807818,Africa,53.676,945.5835837,1630.0,0.19
Guinea,2007,9947814,Africa,56.007,942.6542111,1980.0,0.21
Guinea-Bissau,1992,1050938,Africa,43.266,745.5398706,180.0,0.18
Guinea-Bissau,1997,1193708,Africa,44.873,796.6644681,200.0,0.17
Guinea-Bissau,2002,1332459,Africa,45.504,575.7047176,150.0,0.12
Guinea-Bissau,2007,1472041,Africa,46.388,579.231743,230.0,0.16
Haiti,1992,6326682,Americas,55.089,1456.309517,900.0,0.12
Haiti,1997,6913545,Americas,56.671,1341.726931,1270.0,0.16
Haiti,2002,7607651,Americas,58.137,1270.364932,1830.0,0.21
Haiti,2007,8502814,Americas,60.916,1201.637154,2050.0,0.22
Honduras,1992,5077347,Americas,66.399,3081.694603,2730.0,0.51
Honduras,1997,5867957,Americas,67.659,3160.454906,4040.0,0.66
Honduras,2002,6677328,Americas,68.565,3099.72866,6090.0,0.87
Honduras,2007,7483763,Americas,70.198,3548.330846,8540.0,1.08
Hungary,1992,10348684,Europe,69.17,10535.62855,58000.0,5.59
Hungary,1997,10244684,Europe,71.04,11712.7768,56990.0,5.54
Hungary,2002,10083313,Europe,72.59,14843.93556,55600.0,5.47
Hungary,2007,9956108,Europe,73.338,18008.94444,53850.0,5.36
Iceland,1992,259012,Europe,78.77,25144.39201,1940.0,7.43
Iceland,1997,271192,Europe,78.95,28061.09966,2150.0,7.93
Iceland,2002,288030,Europe,80.5,31163.20196,2240.0,7.79
Iceland,2007,301931,Europe,81.757,36180.78919,2380.0,7.64
India,1992,872000000,Asia,60.223,1164.406809,626290.0,0.69
India,1997,959000000,Asia,61.765,1458.817442,819270.0,0.82
India,2002,1034172547,Asia,62.879,1746.769454,985450.01,0.9
India,2007,1110396331,Asia,64.698,2452.210407,1336739.99,1.12
Indonesia,1992,184816000,Asia,62.681,2383.140898,171510.0,0.91
Indonesia,1997,199278000,Asia,66.041,3119.335603,261160.0,1.28
Indonesia,2002,211060000,Asia,68.588,2873.91287,305640.01,1.39
Indonesia,2007,223547000,Asia,70.65,3540.651564,379959.99,1.62
Iran,1992,60397973,Asia,65.742,7235.653188,233650.0,3.94
Iran,1997,63327987,Asia,68.042,8263.590301,292400.0,4.68
Iran,2002,66907826,Asia,69.451,9240.761975,369870.0,5.49
Iran,2007,69453570,Asia,70.964,11605.71449,514140.01,7.11
Iraq,1992,17861905,Asia,59.461,3745.640687,67340.0,3.66
Iraq,1997,20775703,Asia,58.811,3076.239795,118910.0,5.32
Iraq,2002,24001816,Asia,57.046,4390.717312,91160.0,3.47
Iraq,2007,27499638,Asia,59.545,4471.061906,76650.0,2.67
Ireland,1992,3557761,Europe,75.467,17558.81555,31510.0,8.86
Ireland,1997,3667233,Europe,76.122,24521.94713,35970.0,9.79
Ireland,2002,3879155,Europe,77.783,34077.04939,43930.0,11.17
Ireland,2007,4109086,Europe,78.885,40675.99635,46360.0,10.54
Israel,1992,4936550,Asia,76.93,18051.52254,36860.0,7.2
Israel,1997,5531387,Asia,78.269,20896.60924,50970.0,8.73
Israel,2002,6029529,Asia,79.696,21905.59514,61080.0,9.3
Israel,2007,6426679,Asia,80.745,25523.2771,66600.0,9.28
Italy,1992,56840847,Europe,77.44,22013.64486,402270.0,7.08
Italy,1997,57479469,Europe,78.82,24675.02446,415520.0,7.3
Italy,2002,57926999,Europe,80.24,27968.09817,443470.0,7.77
Italy,2007,58147733,Europe,80.546,28569.7197,459370.0,7.86
Jamaica,1992,2378618,Americas,71.766,7404.923685,8150.0,3.35
Jamaica,1997,2531311,Americas,72.262,7121.924704,9200.0,3.6
Jamaica,2002,2664659,Americas,72.047,6994.774861,10250.0,3.89
Jamaica,2007,2780132,Americas,72.567,7320.880262,12020.0,4.45
Japan,1992,124329269,Asia,79.36,26824.89511,1115060.0,8.96
Japan,1997,125956499,Asia,80.69,28816.58499,1172630.0,9.3
Japan,2002,127065841,Asia,82.0,28604.5919,1206599.98,9.47
Japan,2007,127467972,Asia,82.603,31656.06806,1225069.95,9.57
Jordan,1992,3867409,Asia,68.015,3431.593647,11930.0,3.09
Jordan,1997,4526235,Asia,69.772,3645.379572,14370.0,3.04
Jordan,2002,5307470,Asia,71.263,3844.917194,16870.0,3.2
Jordan,2007,6053193,Asia,72.535,4519.461171,21090.0,3.26
Kenya,1992,25020539,Africa,59.285,1341.921721,5950.0,0.24
Kenya,1997,28263827,Africa,54.407,1360.485021,6640.0,0.23
Kenya,2002,31386842,Africa,50.992,1287.514732,7420.0,0.23
Kenya,2007,35610177,Africa,54.11,1463.249282,9370.0,0.25
Kuwait,1992,1418095,Asia,75.19,34932.91959,23050.0,14.22
Kuwait,1997,1765345,Asia,76.156,40300.61996,37300.0,21.18
Kuwait,2002,2111561,Asia,76.904,35110.10566,55590.0,27.15
Kuwait,2007,2505559,Asia,77.588,47306.98978,70600.0,28.16
Lebanon,1992,3219994,Asia,69.292,6890.806854,7020.0,1.87
Lebanon,1997,3430388,Asia,70.265,8754.96385,16130.0,3.93
Lebanon,2002,3677780,Asia,71.028,9313.93883,16840.0,3.79
Lebanon,2007,3921278,Asia,71.993,10461.05868,15040.0,3.13
Lesotho,1992,1803195,Africa,59.685,977.4862725,350.0,0.19
Lesotho,1997,1982823,Africa,55.558,1186.147994,380.0,0.19
Lesotho,2002,2046772,Africa,44.593,1275.184575,410.0,0.21
Lesotho,2007,2012649,Africa,42.592,1569.331442,440.0,0.22
Liberia,1992,1912974,Africa,40.802,636.6229191,400.0,0.19
Liberia,1997,2200725,Africa,42.221,609.1739508,450.0,0.19
Liberia,2002,2814651,Africa,43.753,531.4823679,450.0,0.15
Liberia,2007,3193942,Africa,45.678,414.5073415,640.0,0.18
Libya,1992,4364501,Africa,68.755,9640.138501,26340.0,5.93
Libya,1997,4759670,Africa,71.555,9467.446056,42200.0,8.61
Libya,2002,5368585,Africa,72.737,9534.677467,45590.0,8.43
Libya,2007,6036914,Africa,73.952,12057.49928,49390.0,8.1
Madagascar,1992,12210395,Africa,52.214,1040.67619,960.0,0.08
Madagascar,1997,14165114,Africa,54.978,986.2958956,1420.0,0.1
Madagascar,2002,16473477,Africa,57.286,894.6370822,1120.0,0.07
Madagascar,2007,19167654,Africa,59.443,1044.770126,1720.0,0.09
Malawi,1992,10014249,Africa,49.42,563.2000145,630.0,0.06
Malawi,1997,10419991,Africa,47.495,692.2758103,770.0,0.07
Malawi,2002,11824495,Africa,45.009,665.4231186,680.0,0.06
Malawi,2007,13327079,Africa,48.303,759.3499101,830.0,0.06
Malaysia,1992,18319502,Asia,70.693,7277.912802,67170.0,3.63
Malaysia,1997,20476091,Asia,71.938,10132.90964,106020.0,4.99
Malaysia,2002,22662365,Asia,73.044,10206.97794,136380.0,5.65
Malaysia,2007,24821286,Asia,74.241,12451.6558,189940.0,7.01
Mali,1992,8416215,Africa,48.388,739.014375,10.0,0.0
Mali,1997,9384984,Africa,49.903,790.2579846,10.0,0.0
Mali,2002,10580176,Africa,51.818,951.4097518,1400.0,0.12
Mali,2007,12031795,Africa,54.467,1042.581557,2070.0,0.15
Mauritania,1992,2119465,Africa,58.333,1361.369784,1010.0,0.47
Mauritania,1997,2444741,Africa,60.43,1483.136136,1230.0,0.5
Mauritania,2002,2828858,Africa,62.247,1579.019543,1550.0,0.55
Mauritania,2007,3270065,Africa,64.164,1803.151496,1990.0,0.63
Mauritius,1992,1096202,Africa,69.745,6058.253846,1320.0,1.22
Mauritius,1997,1149818,Africa,70.736,7425.705295,1620.0,1.41
Mauritius,2002,1200206,Africa,71.954,9021.815894,2610.0,2.17
Mauritius,2007,1250882,Africa,72.801,10956.99112,3400.0,2.74
Mexico,1992,88111030,Americas,71.455,9472.384295,291680.0,3.43
Mexico,1997,95895146,Americas,73.67,9767.29753,342480.0,3.68
Mexico,2002,102479927,Americas,74.902,10742.44053,386000.0,3.82
Mexico,2007,108700891,Americas,76.195,11977.57496,457120.0,4.22
Mongolia,1992,2312802,Asia,61.271,1785.402016,12860.0,5.75
Mongolia,1997,2494803,Asia,63.625,1902.2521,8520.0,3.58
Mongolia,2002,2674234,Asia,65.033,2140.739323,9600.0,3.85
Mongolia,2007,2874127,Asia,66.803,3095.772271,13020.0,5.0
Montenegro,1992,621621,Europe,75.435,7003.339037,1480.0,2.43
Montenegro,1997,692651,Europe,75.445,6465.613349,1670.0,2.74
Montenegro,2002,720230,Europe,73.981,6557.194282,1770.0,2.9
Montenegro,2007,684736,Europe,74.543,9253.896111,2100.0,3.41
Morocco,1992,25798239,Africa,65.393,2948.047252,24880.0,0.98
Morocco,1997,28529501,Africa,67.66,2982.101858,29900.0,1.09
Morocco,2002,31167783,Africa,69.615,3258.495584,37470.0,1.28
Morocco,2007,33757175,Africa,71.164,3820.17523,46350.0,1.48
Mozambique,1992,13160731,Africa,44.284,410.8968239,1100.0,0.08
Mozambique,1997,16603334,Africa,46.344,472.3460771,1290.0,0.08
Mozambique,2002,18473780,Africa,44.026,633.6179466,1570.0,0.08
Mozambique,2007,19951656,Africa,42.082,823.6856205,2230.0,0.1
Myanmar,1992,40546538,Asia,59.32,347.0,4280.0,0.1
Myanmar,1997,43247867,Asia,60.328,415.0,7250.0,0.16
Myanmar,2002,45598081,Asia,59.908,611.0,8300.0,0.18
Myanmar,2007,47761980,Asia,62.069,944.0,10390.0,0.21
Namibia,1992,1554253,Africa,61.999,3804.537999,1220.0,0.83
Namibia,1997,1774766,Africa,58.909,3899.52426,1970.0,1.16
Namibia,2002,1972153,Africa,51.479,4072.324751,2130.0,1.13
Namibia,2007,2055080,Africa,52.906,4811.060429,2620.0,1.3
Nepal,1992,20326209,Asia,55.727,897.7403604,1230.0,0.06
Nepal,1997,23001113,Asia,59.426,1010.892138,2190.0,0.09
Nepal,2002,25873917,Asia,61.34,1057.206311,2790.0,0.11
Nepal,2007,28901790,Asia,63.785,1091.359778,2690.0,0.1
Netherlands,1992,15174244,Europe,77.42,26790.94961,153250.0,10.09
Netherlands,1997,15604464,Europe,78.03,30246.13063,166310.0,10.65
Netherlands,2002,16122830,Europe,78.53,33724.75778,167429.99,10.37
Netherlands,2007,16570613,Europe,79.762,36797.93332,164550.0,10.04
New Zealand,1992,3437674,Oceania,76.33,18363.32494,24380.0,6.9
New Zealand,1997,3676187,Oceania,77.55,21050.41377,27690.0,7.32
New Zealand,2002,3908037,Oceania,79.11,23189.80135,31540.0,7.99
New Zealand,2007,4115771,Oceania,80.204,25185.00911,33270.0,7.88
Nicaragua,1992,4017939,Americas,65.843,2170.151724,2240.0,0.51
Nicaragua,1997,4609572,Americas,68.426,2253.023004,3020.0,0.62
Nicaragua,2002,5146848,Americas,70.836,2474.548819,4060.0,0.77
Nicaragua,2007,5675356,Americas,72.899,2749.320965,4700.0,0.84
Niger,1992,8392818,Africa,47.391,581.182725,500.0,0.06
Niger,1997,9666252,Africa,51.313,580.3052092,620.0,0.06
Niger,2002,11140655,Africa,54.496,601.0745012,700.0,0.06
Niger,2007,12894865,Africa,56.867,619.6768924,820.0,0.06
Nigeria,1992,93364244,Africa,47.472,1619.848217,91810.0,0.92
Nigeria,1997,106207839,Africa,47.464,1624.941275,98650.0,0.87
Nigeria,2002,119901274,Africa,46.608,1615.286395,92240.0,0.71
Nigeria,2007,135031164,Africa,46.859,2013.977305,81120.0,0.55
Norway,1992,4286357,Europe,77.32,33965.66115,30200.0,7.05
Norway,1997,4405672,Europe,78.32,41283.16433,36540.0,8.29
Norway,2002,4535591,Europe,79.05,44683.97525,34370.0,7.57
Norway,2007,4627926,Europe,80.196,49357.19017,37750.0,8.02
Oman,1992,1915208,Asia,71.197,18616.70691,14920.0,7.52
Oman,1997,2283635,Asia,72.499,19702.05581,20020.0,8.92
Oman,2002,2713462,Asia,74.193,19774.83687,29970.0,12.47
Oman,2007,3204897,Asia,75.64,22316.19287,42260.0,16.22
Pakistan,1992,120065004,Asia,60.838,1971.829464,66980.0,0.55
Pakistan,1997,135564834,Asia,61.818,2049.350521,89360.0,0.63
Pakistan,2002,153403524,Asia,63.61,2092.712441,102330.0,0.63
Pakistan,2007,169270617,Asia,65.483,2605.94758,146259.99,0.8
Panama,1992,2484997,Americas,72.462,6618.74305,3640.0,1.43
Panama,1997,2734531,Americas,73.738,7113.692252,4640.0,1.64
Panama,2002,2990875,Americas,74.712,7356.031934,5410.0,1.73
Panama,2007,3242173,Americas,75.537,9809.185636,7480.0,2.18
Paraguay,1992,4483945,Americas,68.225,4196.411078,2470.0,0.58
Paraguay,1997,5154123,Americas,69.4,4247.400261,4110.0,0.85
Paraguay,2002,5884491,Americas,70.755,3783.674243,3780.0,0.72
Paraguay,2007,6667147,Americas,71.752,4172.838464,3720.0,0.67
Peru,1992,22430449,Americas,66.458,4446.380924,21030.0,0.91
Peru,1997,24748122,Americas,68.386,5838.347657,27960.0,1.1
Peru,2002,26769436,Americas,69.906,5909.020073,27730.0,1.01
Peru,2007,28674757,Americas,71.421,7408.905561,33810.0,1.18
Philippines,1992,67185766,Asia,66.458,2279.324017,44020.0,0.68
Philippines,1997,75012988,Asia,68.564,2536.534925,74790.0,1.03
Philippines,2002,82995088,Asia,70.303,2650.921068,71570.0,0.88
Philippines,2007,91077287,Asia,71.688,3190.481016,73220.0,0.82
Poland,1992,38370697,Europe,70.99,7738.881247,343370.0,8.95
Poland,1997,38654957,Europe,72.75,10159.58368,344630.0,8.92
Poland,2002,38625976,Europe,74.67,12002.23908,287320.01,7.52
Poland,2007,38518241,Europe,75.563,15389.92468,313380.0,8.22
Portugal,1992,9927680,Europe,74.86,16207.26663,46770.0,4.7
Portugal,1997,10156415,Europe,75.97,17641.03156,50930.0,5.04
Portugal,2002,10433867,Europe,77.29,19970.90787,65600.0,6.3
Portugal,2007,10642836,Europe,78.098,20509.64777,58800.0,5.58
Romania,1992,22797027,Europe,69.36,6598.409903,126190.0,5.54
Romania,1997,22562458,Europe,69.72,7346.547557,113610.0,5.04
Romania,2002,22404337,Europe,71.322,7885.360081,93740.0,4.31
Romania,2007,22276056,Europe,72.476,10808.47561,96730.0,4.63
Rwanda,1992,7290203,Africa,23.599,737.0685949,500.0,0.07
Rwanda,1997,7212583,Africa,36.087,589.9445051,510.0,0.07
Rwanda,2002,7852401,Africa,43.413,785.6537648,560.0,0.07
Rwanda,2007,8860588,Africa,46.242,863.0884639,580.0,0.06
